week,cocaine,ghb,xtc
1,32,18,50
2,31,19,33
3,28,18,26
4,37,15,39
5,31,34,36
5,27,15,34
7,32,13,37
8,30,18,37
9,32,23,41
10,36,18,53
11,34,24,51
12,32,26,41
13,33,20,49
14,33,17,49
15,32,20,68
16,36,18,62
17,40,20,100
18,31,17,53
19,35,16,46
20,31,19,50
21,27,22,72
22,24,18,73
23,33,17,82
24,30,21,55
25,30,30,52
26,31,19,65
27,28,13,79
28,33,16,71
29,25,14,63
30,32,16,62
31,34,12,59
32,25,24,55
33,32,16,72
34,27,13,74
35,31,14,76
36,30,18,55
37,28,23,47
38,43,18,40
39,34,13,45
40,32,14,45
41,26,16,44
42,32,25,86
43,34,16,73
44,31,17,63
45,25,13,51
46,26,12,43
47,28,16,58
48,43,13,44
49,44,14,31
50,33,17,37
51,41,13,30
52,44,18,52
