date,cocaine
2018-01-28,45
2018-02-11,48
2018-02-25,42
2018-03-11,45
2018-04-01,50
2018-04-15,38
2018-05-06,43
2018-06-03,38
2018-06-24,54
2018-07-22,51
2018-08-12,51
2018-09-02,52
2018-09-16,49
2018-10-14,51
2018-11-04,52
2018-11-25,46
2018-12-09,50
2018-12-23,52
2019-01-20,42
2019-02-10,59
2019-03-03,39
2019-03-31,55
2019-04-28,41
2019-05-12,44
2019-06-09,48
2019-07-14,67
2019-07-28,42
2019-08-11,41
2019-09-01,40
2019-09-15,50
2019-10-13,53
2019-11-10,55
2019-12-08,51
2019-12-22,43
2020-01-12,49
2020-01-26,48
2020-02-16,49
2020-03-08,55
2020-03-22,38
2020-04-12,49
2020-05-03,61
2020-05-17,41
2020-05-31,43
2020-06-28,46
2020-07-12,44
2020-08-09,65
2020-08-23,42
2020-10-04,46
2020-10-18,45
2020-11-08,47
2020-11-22,59
2020-12-27,57
2021-01-17,44
2021-02-07,40
2021-02-21,46
2021-03-14,43
2021-04-04,51
2021-05-09,44
2021-05-23,100
2021-06-06,44
2021-06-27,59
2021-07-18,51
2021-08-15,49
2021-09-12,52
2021-10-17,43
2021-12-12,41
2021-12-26,60
2022-01-23,48
2022-02-06,41
2022-03-06,45
2022-04-03,46
2022-04-24,52
2022-05-08,47
2022-05-22,40
2022-06-12,41
2022-07-10,43
2022-07-31,42
2022-08-14,39
2022-08-28,41
2022-09-18,56
2022-10-02,45
2022-10-23,44
2022-12-04,57
2022-12-18,56
